volume,risk_weight,max_share,min_supplier,status,baseline_cost,optimized_cost,baseline_emissions,optimized_emissions,baseline_deforestation,optimized_deforestation,supplier_count,total_volume_sourced,timestamp
100000,0.5,0.4,3,completed,1014.0376449367672,976.8741212178694,1.683494291105607,0.8513205071586201,0.008206495222097186,0.0008371481862377199,3,100000.0,2026-01-09T21:05:18.177278
100000,0.5,0.4,5,completed,1014.0376449367672,969.5331421085915,1.683494291105607,0.852382653787763,0.008206495222097186,0.0008345062290499919,5,100000.0,2026-01-09T21:05:40.390995
100000,0.5,0.4,7,completed,1014.0376449367672,967.0994646747939,1.683494291105607,0.8470704691132368,0.008206495222097186,0.000831864271862264,7,100000.0,2026-01-09T21:06:02.716889
100000,0.5,0.4,9,completed,1014.0376449367672,966.5679644972391,1.683494291105607,0.844499345336726,0.008206495222097186,0.000829222314674536,9,100000.0,2026-01-09T21:06:25.057453
100000,0.5,0.4,11,completed,1014.0376449367672,966.666252536276,1.683494291105607,0.9065019616763152,0.008206495222097186,0.0008320864984811519,11,100000.0,2026-01-09T21:06:47.418419
100000,0.5,0.5,3,completed,1014.0376449367672,965.0370414540939,1.683494291105607,0.9877428207333377,0.008206495222097186,0.001012675155977398,3,100000.0,2026-01-09T21:07:09.437997
100000,0.5,0.5,5,completed,1014.0376449367672,958.4211713005961,1.683494291105607,0.96879395779576,0.008206495222097186,0.0010085619748433662,5,100000.0,2026-01-09T21:07:31.403781
100000,0.5,0.5,7,completed,1014.0376449367672,956.7126028225789,1.683494291105607,0.9434707635545135,0.008206495222097186,0.0010044487937093342,7,100000.0,2026-01-09T21:07:53.722808
100000,0.5,0.5,9,completed,1014.0376449367672,956.9062116008043,1.683494291105607,0.9208886302112823,0.008206495222097186,0.001000335612575302,9,100000.0,2026-01-09T21:08:16.050688
100000,0.5,0.5,11,completed,1014.0376449367672,957.7296085956212,1.683494291105607,0.9628802369841511,0.008206495222097186,0.001001728572435614,11,100000.0,2026-01-09T21:08:38.332220
100000,0.5,0.6,3,completed,1014.0376449367672,960.0884967702302,1.683494291105607,0.9340605434242115,0.008206495222097186,0.0011742254982271881,3,100000.0,2026-01-09T21:08:59.990380
100000,0.5,0.6,5,completed,1014.0376449367672,953.4726266167323,1.683494291105607,0.9151116804866338,0.008206495222097186,0.001170112317093156,5,100000.0,2026-01-09T21:09:21.560791
100000,0.5,0.6,7,completed,1014.0376449367672,951.7640581387152,1.683494291105607,0.8897884862453872,0.008206495222097186,0.0011659991359591242,7,100000.0,2026-01-09T21:09:43.552132
100000,0.5,0.6,9,completed,1014.0376449367672,951.9576669169405,1.683494291105607,0.867206352902156,0.008206495222097186,0.001161885954825092,9,100000.0,2026-01-09T21:10:05.316663
100000,0.5,0.6,11,completed,1014.0376449367672,952.7810639117577,1.683494291105607,0.9091979596750249,0.008206495222097186,0.001163278914685404,11,100000.0,2026-01-09T21:10:27.065708
100000,0.5,0.7,3,completed,1014.0376449367672,955.1399520863664,1.683494291105607,0.8803782661150852,0.008206495222097186,0.001335775840476978,3,100000.0,2026-01-09T21:10:48.697055
100000,0.5,0.7,5,completed,1014.0376449367672,948.5240819328689,1.683494291105607,0.8614294031775076,0.008206495222097186,0.0013316626593429459,5,100000.0,2026-01-09T21:11:10.654679
100000,0.5,0.7,7,completed,1014.0376449367672,946.8155134548514,1.683494291105607,0.836106208936261,0.008206495222097186,0.001327549478208914,7,100000.0,2026-01-09T21:11:32.790876
100000,0.5,0.7,9,completed,1014.0376449367672,947.0091222330769,1.683494291105607,0.8135240755930295,0.008206495222097186,0.001323436297074882,9,100000.0,2026-01-09T21:11:55.071982
100000,0.5,0.7,11,completed,1014.0376449367672,947.8325192278938,1.683494291105607,0.8555156823658986,0.008206495222097186,0.001324829256935194,11,100000.0,2026-01-09T21:12:17.179674
